market,product,x,z_cost,omega,xi,mc,price,share,outside_share,z_invalid
0,0,-0.41177635028938386,0.4777978412734598,-0.06075734290229221,0.22875733435906498,1.5101299630694804,2.1487387610281665,0.021310069642301758,0.8299441279208648,0.21901994071233727
0,1,0.3348871076074975,0.21304310671063786,-0.11856938944066686,-0.17182533305864112,1.5945104962417442,2.237617100191101,0.028154902839067512,0.8299441279208648,-0.1892291671297029
0,2,0.7703946259757701,-0.44246276702953374,0.029363931551589922,0.19949257060279071,1.5998938054798193,2.2668361332710387,0.06288748823323925,0.8299441279208648,0.2220896855464088
0,3,0.6533633525857683,0.31820529837380995,0.05980323109702412,0.16568009985393925,1.9316727887702574,2.577672442556968,0.03250722142591765,0.8299441279208648,0.1863017960136417
0,4,0.38178360646347276,0.34086883956969016,0.05894738183115503,0.06476008246295997,1.845962621899731,2.4871172763533678,0.025196189938608952,0.8299441279208648,0.07649365130851357
1,0,0.5107828146649318,0.5440972945441929,0.11273866161726134,-0.13228048986743177,2.0363564292948744,2.673260285708494,0.018690193651283597,0.8762354501288456,-0.11693666401598674
1,1,-0.6478574803400005,0.539758867881718,-0.08281463188945386,0.2559880930167467,1.4333267405383192,2.0712037551451385,0.020187299921375225,0.8762354501288456,0.23687412638197655
1,2,0.310630921795523,0.128897715883854,0.05905701530588778,-0.25137060049507526,1.7257818100820552,2.364717578087594,0.021810906046220577,0.8762354501288456,-0.26950102601287107
1,3,-0.44696771049353895,0.05984873219164166,0.10064981573509343,-0.20869018479185503,1.4711430465485935,2.10564344073854,0.014973031186332529,0.8762354501288456,-0.20101321956804696
1,4,0.7635810662593101,-0.09003580980001735,0.11665071933696722,0.25772773921928593,1.8433879781177178,2.499971703223228,0.0481031190659425,0.8762354501288456,0.2620319716387916
2,0,0.7770930564331431,-0.19156109162164559,-0.0780134675100749,-0.2769907589576264,1.6077666110117845,2.2595247200709996,0.041055276010051156,0.8560658519807287,-0.25419834611605685
2,1,0.6197366603286045,0.05167256669300491,-0.06497221827579183,0.19032445088901476,1.6751882678510719,2.3324148573837182,0.049034214448874715,0.8560658519807287,0.21448896817536744
2,2,0.0939599528395677,0.5939697182498846,0.07623618088890582,-0.16123782905775058,1.8764085375952027,2.510635226246116,0.014547935014433768,0.8560658519807287,-0.16888556348367176
2,3,-0.4864448157983805,-0.48899083338758975,0.1159397512150529,-0.2957918114711276,1.2256381906612042,1.8627025732022795,0.018937462008084615,0.8560658519807287,-0.29797214979138464
2,4,-0.4971059654441371,0.25689841499305077,-0.05963640640980505,0.03995677278593503,1.38198079243162,2.019969776376007,0.020359260537827013,0.8560658519807287,0.03774354401521969
3,0,0.2888510714216197,0.4268495723479291,-0.09832992631031906,-0.16924180751521647,1.694850256243816,2.335221087905833,0.02400301653672115,0.86786735058964,-0.17153427926750942
3,1,-0.6310356614876705,-0.31134786857028496,-0.07203038790363592,0.03578686952823904,1.0670005897190513,1.7107290022580683,0.029093655296567985,0.86786735058964,0.02751715264976914
3,2,-0.42640360841802405,-0.1396389753181273,-0.037304779338064295,-0.014224719706542628,1.25061641882247,1.892250144507031,0.025924020229476433,0.86786735058964,-0.022214095444706115
3,3,-0.4161418047457449,-0.39471722490681876,0.02215847794345302,0.29325103537083047,1.1988860950743738,1.8487282733541766,0.038228017678942273,0.86786735058964,0.29086558393287726
3,4,-0.06553851900016583,0.5899602075190951,0.049402513717523855,-0.11144113400861472,1.7919461254510587,2.4263891369575186,0.014883939668652169,0.86786735058964,-0.11526975085799089
4,0,0.2708562375522816,-0.5108354396715244,0.10336814896315938,0.2308078120148006,1.4682918842542718,2.123802058241154,0.04654416544188157,0.8203534435704691,0.2267652317231694
4,1,-0.5202593638826972,0.6698505382485045,0.061775788807680976,-0.1475084037281851,1.6811177536605642,2.3123522644431795,0.009876695073096815,0.8203534435704691,-0.13396041983567125
4,2,0.3264014605478789,-0.6539642390416547,0.09383590368238906,0.25594774030952655,1.4137925073054018,2.0750639754974327,0.05485110115396299,0.8203534435704691,0.23012743015348494
4,3,0.48046553427511407,-0.19678732288001088,-0.05636045368923448,-0.0006843488627340441,1.5232481880110504,2.1761695804802486,0.04276378870602736,0.8203534435704691,-0.017930104249770325
4,4,-0.18350399240149606,0.022193517419620723,-0.07972319761273264,-0.0529225705079735,1.366037487885573,2.0074649625369365,0.025610806054562132,0.8203534435704691,-0.07979725033635868
5,0,-0.6350192648557569,-0.06019210113493623,0.03554950567509718,-0.19333486597746835,1.2862063174648608,1.921553083094921,0.016285225942402632,0.8597135936727373,-0.20039285053772926
5,1,-0.5475648392638568,0.11277755701915826,-0.06357138363892191,-0.08130013350968714,1.2955308232773493,1.9330833989128564,0.019688690964811656,0.8597135936727373,-0.06511784620912296
5,2,0.37689277847851144,0.1157249959350487,0.07862275192203191,-0.05425565826042807,1.7626114725602828,2.40449579043602,0.026304300331895278,0.8597135936727373,-0.02838260639072393
5,3,0.6678030307069158,-0.29367975225679055,-0.09089785749610733,0.04813623011627676,1.5106773147357575,2.174167744263718,0.0580120342584966,0.8597135936727373,0.03391846098304857
5,4,0.44002517770573224,0.6833890639545974,-0.026515275895800258,-0.12865305839827934,1.9350186150807749,2.572771214807935,0.019996154829656484,0.8597135936727373,-0.15221280635450046
6,0,-0.7491879833705998,-0.15574129332537123,0.09081468238960419,-0.12018122401613825,1.2585153062134773,1.8936382243220327,0.01593851807253658,0.8479722104664986,-0.13308182424943935
6,1,0.6958278693632363,-0.0011909028070761218,0.031948378608831846,0.026824217448869123,1.7749522266227804,2.425089902830458,0.03866515836200819,0.8479722104664986,0.027271902719208187
6,2,-0.10042388396165425,0.1354622148640644,0.02369956570391593,0.13215706061333554,1.549509203006166,2.1912018756424048,0.026013500462240175,0.8479722104664986,0.11556315738656975
6,3,0.7162564967323133,-0.47543275212699654,0.0051663295317115054,-0.2244722946612139,1.5419113649308727,2.1959361419827066,0.044378711740355854,0.8479722104664986,-0.20242950938610915
6,4,0.11407988212082909,-0.06578628920799556,-0.07187664437502664,-0.24201915070437482,1.4384474842236656,2.0808118131012416,0.02703190089636061,0.8479722104664986,-0.22719424645878028
7,0,0.6533165623739017,0.6648360024177391,-0.031870400774573496,-0.2347152940905308,1.9959665971442746,2.634049917779234,0.02050409438996151,0.8550599098374646,-0.23872129440594575
7,1,-0.13447279426347036,-0.5550779978276034,-0.01307745534453035,-0.1768358499630943,1.1900719676408336,1.8362240160710153,0.032735404122869245,0.8550599098374646,-0.15656708381755288
7,2,0.524084254052332,0.0831873536394695,0.054798401136301966,0.12600388399929635,1.7756621991923796,2.423810827621609,0.03571500025438592,0.8550599098374646,0.13675729155939734
7,3,0.5475130552737044,-0.36964858917636123,0.11900263716266665,-0.15321281842656304,1.6442903413791008,2.2914603467193944,0.034256849293620086,0.8550599098374646,-0.1515973083457121
7,4,0.24223446788449587,0.19451403455125438,0.06674722735816657,-0.1342852083461752,1.7390606066658045,2.3779427111474774,0.021728742101698707,0.8550599098374646,-0.11673378818265495
8,0,-0.3649814888576215,-0.32308879180394534,0.11731595124305857,-0.10676515239138201,1.3441824738311157,1.982984035902488,0.0216053981249193,0.8574496363849584,-0.09822359251030997
8,1,-0.18083163913051548,-0.2735422186466504,0.0004223318876555443,0.1757441460020178,1.3140372598009824,1.9625522483160287,0.03625974562113123,0.8574496363849584,0.15380403825082
8,2,0.5924954986458655,0.13265959547420536,-0.000486062815820712,-0.06931519935385126,1.7665841796736246,2.412474950990429,0.03234412418405346,0.8574496363849584,-0.08855611703290832
8,3,-0.10233548174992857,0.5877351321944684,-0.028271144291164743,-0.149980734347362,1.7003922465838712,2.335372967169245,0.015718147436308193,0.8574496363849584,-0.16264648526727501
8,4,0.4536667764724658,0.04529786566845073,0.006318938500394111,0.08247248267777062,1.68548634981656,2.3342458348632316,0.03662294824862945,0.8574496363849584,0.07607090189716825
9,0,0.48738581037980677,-0.2842137484264784,0.048713837765456736,-0.003473010059364554,1.591402684606474,2.242638561850713,0.040286289746901856,0.855410545511693,0.01451531656485995
9,1,-0.4263665279087082,-0.6147093301915407,0.11817364452088835,0.07907299824388914,1.1923261611666471,1.8370817528650396,0.030640434845013217,0.855410545511693,0.08192286959529646
9,2,-0.45169596954351976,-0.4912976192418832,-0.07297248886343137,-0.05799065692101729,1.0478499931374892,1.6939569766538733,0.0326679389866849,0.855410545511693,-0.074592207237208
9,3,-0.0015131493242700467,0.6622788103968109,0.08199231970142681,-0.215556780166705,1.8794881821164973,2.512311414885283,0.012362429765033987,0.855410545511693,-0.20202174423074537
9,4,-0.5525647177065922,-0.057861251140728265,-0.11484534969252833,0.10540468836695495,1.1657194360968366,1.8091421475395488,0.02863236114467294,0.855410545511693,0.11673885073533949
10,0,-0.49044034565311617,-0.38080618050548554,-0.1061955889612335,0.02479597654739856,1.0507875088327072,1.6981686844797275,0.034571866604943345,0.8755029719114314,0.034805520305172616
10,1,-0.22592164149245542,-0.44585560463726837,0.018149891911216964,0.16636051407714028,1.2384422953020868,1.8889842139214663,0.03926252542432033,0.8755029719114314,0.1395223360437391
